date,value
1998-10-09,1.8953
1998-10-16,1.1297
1998-10-23,0.8943
1998-10-30,0.7607
1998-11-06,0.4562
1998-11-13,0.6266
1998-11-20,0.338
1998-11-27,-0.0323
1998-12-04,0.5355
1998-12-11,0.4639
1998-12-18,0.5242
1998-12-25,0.1849
1999-01-01,0.3729
1999-01-08,0.118
1999-01-15,0.5347
1999-01-22,0.4927
1999-01-29,0.2619
1999-02-05,0.1743
1999-02-12,0.246
1999-02-19,0.092
1999-02-26,0.0597
1999-03-05,0.0915
1999-03-12,0.0861
1999-03-19,0.0728
1999-03-26,0.1479
1999-04-02,0.0691
1999-04-09,0.1216
1999-04-16,-0.0014
1999-04-23,0.067
1999-04-30,-0.0822
1999-05-07,0.0122
1999-05-14,0.0576
1999-05-21,0.2044
1999-05-28,0.3011
1999-06-04,0.1187
1999-06-11,0.1205
1999-06-18,0.148
1999-06-25,0.0514
1999-07-02,0.0721
1999-07-09,0.1065
1999-07-16,0.205
1999-07-23,0.2266
1999-07-30,0.2512
1999-08-06,0.4054
1999-08-13,0.2846
1999-08-20,0.2023
1999-08-27,0.1076
1999-09-03,0.2305
1999-09-10,0.3099
1999-09-17,0.3298
1999-09-24,0.3816
1999-10-01,0.3021
1999-10-08,0.4326
1999-10-15,0.5427
1999-10-22,0.4179
1999-10-29,0.1786
1999-11-05,0.317
1999-11-12,0.1819
1999-11-19,-0.0357
1999-11-26,0.0463
1999-12-03,0.1604
1999-12-10,0.2066
1999-12-17,0.0931
1999-12-24,0.0512
1999-12-31,0.2674
2000-01-07,-0.0096
2000-01-14,-0.0435
2000-01-21,0.0076
2000-01-28,0.0633
2000-02-04,-0.064
2000-02-11,0.0943
2000-02-18,0.1551
2000-02-25,0.2556
2000-03-03,-0.0143
2000-03-10,0.0515
2000-03-17,0.0032
2000-03-24,-0.1423
2000-03-31,0.2221
2000-04-07,0.4398
2000-04-14,0.4645
2000-04-21,0.4284
2000-04-28,0.2996
2000-05-05,0.4697
2000-05-12,0.4923
2000-05-19,0.2442
2000-05-26,0.5765
2000-06-02,0.4543
2000-06-09,0.4067
2000-06-16,0.3857
2000-06-23,0.4293
2000-06-30,0.362
2000-07-07,0.2806
2000-07-14,0.1457
2000-07-21,0.0671
2000-07-28,0.1211
2000-08-04,0.1295
2000-08-11,-0.0204
2000-08-18,-0.0023
2000-08-25,0.0169
2000-09-01,-0.0671
2000-09-08,0.0638
2000-09-15,0.0892
2000-09-22,0.2575
2000-09-29,0.126
2000-10-06,0.1838
2000-10-13,0.6702
2000-10-20,0.4794
2000-10-27,0.3132
2000-11-03,0.1232
2000-11-10,0.3088
2000-11-17,0.3983
2000-11-24,0.5432
2000-12-01,0.5856
2000-12-08,0.6254
2000-12-15,0.4534
2000-12-22,0.9028
2000-12-29,0.7002
2001-01-05,0.9154
2001-01-12,0.4969
2001-01-19,0.2923
2001-01-26,0.2648
2001-02-02,0.4015
